idiom,repo,html,class,met,lineno,non-pythonic,pythonic,operation-lag,detection-correct,refactor-correct
List-compreh,keras,https://github.com/keras-team/keras/tree/master/keras/callbacks_test.py,KerasCallbacksTest,test_stop_training_csv$1570,1619,"values = []
for x in csv.reader(f):
    if x:
        values.append(x)",values = [x for x in csv.reader(f) if x],0,1,1
List-compreh,proplot,https://github.com/lukelbd/proplot/tree/master/proplot/gridspec.py,SubplotGrid,__getattr__$1296,1325,"result = []
for func in objs:
    result.append(func(*args, **kwargs))","result = [func(*args, **kwargs) for func in objs]",1,1,1
List-compreh,tartube,https://github.com/axcore/tartube/tree/master/ytsc/youtube_stream_capture.py,,get_segment_list$165,181,"segment_list = []
for k in range(0, last_segment):
    segment_list.append('{}sq/{}/{}'.format(video_base_url, k, video_lmt_number - video_lmt_distance * (last_segment - k)))","segment_list = ['{}sq/{}/{}'.format(video_base_url, k, video_lmt_number - video_lmt_distance * (last_segment - k)) for k in range(0, last_segment)]",1,1,1
List-compreh,inql,https://github.com/doyensec/inql/tree/master/inql/widgets/payloadview.py,PayloadView,_refresh_queries$217,224,"graphql_tabs = []
for i in range(0, self.this.getTabCount()):
    if self.this.getTitleAt(i).startswith('GraphQL #'):
        graphql_tabs.append(self.this.getTitleAt(i))","graphql_tabs = [self.this.getTitleAt(i) for i in range(0, self.this.getTabCount()) if self.this.getTitleAt(i).startswith('GraphQL #')]",1,1,1
List-compreh,salt,https://github.com/saltstack/salt/tree/master/salt/states/boto_elb.py,,_policies_present$1152,1270,"to_create = []
for policy_name in expected_policy_names:
    if policy_name not in actual_policy_names:
        to_create.append(policy_name)",to_create = [policy_name for policy_name in expected_policy_names if policy_name not in actual_policy_names],1,1,1
List-compreh,halo,https://github.com/manrajgrover/halo/tree/master/tests/test_halo.py,TestHalo,_get_test_output$53,74,"tmp = []
for color in colors_found:
    tmp.append(re.sub('[^0-9]', '', color, flags=re.I))","tmp = [re.sub('[^0-9]', '', color, flags=re.I) for color in colors_found]",1,1,1
List-compreh,Detectron-Cascade-RCNN,https://github.com/zhaoweicai/Detectron-Cascade-RCNN/tree/master/detectron/utils/segms.py,,flip_segms$47,64,"flipped_segms = []
for segm in segms:
    if is_poly(segm):
        flipped_segms.append([_flip_poly(poly, width) for poly in segm])
    else:
        flipped_segms.append(_flip_rle(segm, height, width))","flipped_segms = [[_flip_poly(poly, width) for poly in segm] if is_poly(segm) else _flip_rle(segm, height, width) for segm in segms]",1,1,1
List-compreh,lightning-flash,https://github.com/PyTorchLightning/lightning-flash/tree/master/flash/core/integrations/icevision/transforms.py,,from_icevision_detection$127,171,"keypoints_list = []
for (x, y, v) in keypoint.xyv:
    keypoints_list.append({'x': x, 'y': y, 'visible': v})","keypoints_list = [{'x': x, 'y': y, 'visible': v} for (x, y, v) in keypoint.xyv]",1,1,1
List-compreh,deprecated-binaryninja-python,https://github.com/Vector35/deprecated-binaryninja-python/tree/master//Arm.py,,thumb_16_misc$829,870,"instr.operands = []
for i in xrange(0, 8):
    if opcode & 1 << i:
        instr.operands.append(Registers[i])","instr.operands = [Registers[i] for i in xrange(0, 8) if opcode & 1 << i]",1,1,1
List-compreh,frappe,https://github.com/frappe/frappe/tree/master/frappe/website/doctype/website_sidebar/website_sidebar.py,WebsiteSidebar,get_items$10,26,"out = []
for (group, items) in items_by_group.items():
    out.append({'group_title': group, 'group_items': items})","out = [{'group_title': group, 'group_items': items} for (group, items) in items_by_group.items()]",1,1,1
List-compreh,graph-generation,https://github.com/JiaxuanYou/graph-generation/tree/master/eval/stats.py,,clustering_stats$66,68,"sample_pred = []
for clustering_hist in executor.map(clustering_worker, [(G, bins) for G in graph_pred_list_remove_empty]):
    sample_pred.append(clustering_hist)","sample_pred = [clustering_hist for clustering_hist in executor.map(clustering_worker, [(G, bins) for G in graph_pred_list_remove_empty])]",0,1,1
List-compreh,policy_sentry,https://github.com/salesforce/policy_sentry/tree/master/policy_sentry/querying/actions.py,,get_actions_for_service$17,27,"results = []
for item in service_prefix_data['privileges']:
    results.append(f'{service_prefix}:{item}')",results = [f'{service_prefix}:{item}' for item in service_prefix_data['privileges']],0,1,1
List-compreh,emmett,https://github.com/emmett-framework/emmett/tree/master/emmett/orm/migrations/commands.py,Command,_build_schema_metatable_$58,60,"columns = []
for field in list(ctx.db.Schema):
    columns.append(Column.from_field(field))",columns = [Column.from_field(field) for field in list(ctx.db.Schema)],1,1,1
List-compreh,RootTheBox,https://github.com/moloch--/RootTheBox/tree/master/libs/XSSImageCheck.py,,get_new_avatar$29,46,"dblist = []
for item in cmplist:
    if item._avatar:
        dblist.append(item._avatar)",dblist = [item._avatar for item in cmplist if item._avatar],1,1,1
List-compreh,pgmpy,https://github.com/pgmpy/pgmpy/tree/master/pgmpy/models/MarkovNetwork.py,MarkovNetwork,get_factors$141,170,"node_factors = []
for factor in self.factors:
    if node in factor.scope():
        node_factors.append(factor)",node_factors = [factor for factor in self.factors if node in factor.scope()],1,1,1
List-compreh,vega,https://github.com/huawei-noah/vega/tree/master/vega/algorithms/compression/prune_ea/prune_trainer_callback.py,PruneTrainerCallback,_init_chn_node_mask$99,106,"chn_node_mask = []
for (i, single_mask) in zip([1, 3, 3, 3], chn_node_mask_tmp):
    for _ in range(i):
        chn_node_mask.append(single_mask)","chn_node_mask = [single_mask for (i, single_mask) in zip([1, 3, 3, 3], chn_node_mask_tmp) for _ in range(i)]",1,1,1
List-compreh,PaddleSlim,https://github.com/PaddlePaddle/PaddleSlim/tree/master/demo/nas/darts_cifar10_reader.py,,train_valid$136,144,"multi_readers = []
for pid in range(len(datasets_lists)):
    multi_readers.append(reader_generator(datasets_lists[pid], batch_size, is_train, is_shuffle))","multi_readers = [reader_generator(datasets_lists[pid], batch_size, is_train, is_shuffle) for pid in range(len(datasets_lists))]",1,1,1
List-compreh,saleor,https://github.com/saleor/saleor/tree/master/saleor/shipping/postal_codes.py,,filter_shipping_methods_by_postal_code_rules$120,123,"excluded_methods_by_postal_code = []
for method in shipping_methods:
    if not is_shipping_method_applicable_for_postal_code(shipping_address, method):
        excluded_methods_by_postal_code.append(method.pk)","excluded_methods_by_postal_code = [method.pk for method in shipping_methods if not is_shipping_method_applicable_for_postal_code(shipping_address, method)]",1,1,1
List-compreh,PynamoDB,https://github.com/pynamodb/PynamoDB/tree/master/tests/test_model.py,ModelTestCase,test_index_queries$2133,2194,"queried = []
for item in LocalIndexedModel.email_index.query('foo', filter_condition=LocalIndexedModel.user_name.startswith('bar') & LocalIndexedModel.aliases.contains('baz'), limit=1):
    queried.append(item.serialize())","queried = [item.serialize() for item in LocalIndexedModel.email_index.query('foo', filter_condition=LocalIndexedModel.user_name.startswith('bar') & LocalIndexedModel.aliases.contains('baz'), limit=1)]",1,1,1
List-compreh,Paddle,https://github.com/PaddlePaddle/Paddle/tree/master/python/paddle/fluid/tests/unittests/test_reshape_op.py,TestReshapeOp_attr_ShapeTensor,setUp$96,100,"shape_tensor = []
for (index, ele) in enumerate(self.new_shape):
    shape_tensor.append(('x' + str(index), np.ones(1).astype('int32') * ele))","shape_tensor = [('x' + str(index), np.ones(1).astype('int32') * ele) for (index, ele) in enumerate(self.new_shape)]",1,1,1
List-compreh,lemur,https://github.com/Netflix/lemur/tree/master/lemur/dns_providers/util.py,,get_dns_records$87,89,"records = []
for rdata in dns_response:
    for record in rdata.strings:
        records.append(record.decode('utf-8'))",records = [record.decode('utf-8') for rdata in dns_response for record in rdata.strings],0,1,1
List-compreh,uxy,https://github.com/sustrik/uxy/tree/master/uxy/uxy_ps.py,,_linux$25,65,"fields = []
for i in range(1, regexp.groups + 1):
    fields.append(base.encode_field(m.group(i)))","fields = [base.encode_field(m.group(i)) for i in range(1, regexp.groups + 1)]",1,1,1
List-compreh,kamene,https://github.com/phaethon/kamene/tree/master/kamene/contrib/gsm_um.py,UserUserHdr,post_build$7864,7866,"a = []
for i in aList:
    a.append(getattr(self, i))","a = [getattr(self, i) for i in aList]",1,1,1
List-compreh,cadquery,https://github.com/dcowden/cadquery/tree/master/tests/test_cadquery.py,TestCadQuery,testMakeShellSolid$3675,3683,"lines = []
for (v1, v2) in zip(ixs, ixs[1:]):
    lines.append(Edge.makeLine(Vector(*vertices[v1]), Vector(*vertices[v2])))","lines = [Edge.makeLine(Vector(*vertices[v1]), Vector(*vertices[v2])) for (v1, v2) in zip(ixs, ixs[1:])]",1,1,1
List-compreh,zheye,https://github.com/996refuse/zheye/tree/master//evaluate.py,,CAPTCHA_to_data$12,35,"new_indexes = []
for [y, x] in indexes:
    new_indexes.append((y - padding, x - padding))","new_indexes = [(y - padding, x - padding) for [y, x] in indexes]",1,1,1
List-compreh,scalene,https://github.com/plasma-umass/scalene/tree/master/test/test-size.py,,doit$51,57,"q4 = []
for i in r:
    q4.append(i)",q4 = [i for i in r],1,1,1
List-compreh,PolarMask,https://github.com/xieenze/PolarMask/tree/master/mmdet/core/fp16/decorators.py,,auto_fp16$9,55,"new_args = []
for (i, arg_name) in enumerate(arg_names):
    if arg_name in args_to_cast:
        new_args.append(cast_tensor_type(args[i], torch.float, torch.half))
    else:
        new_args.append(args[i])","new_args = [cast_tensor_type(args[i], torch.float, torch.half) if arg_name in args_to_cast else args[i] for (i, arg_name) in enumerate(arg_names)]",0,1,1
List-compreh,pyqtgraph,https://github.com/pyqtgraph/pyqtgraph/tree/master/pyqtgraph/examples/relativity/relativity.py,AccelerationGroup,generate$281,282,"prog = []
for cmd in self:
    prog.append((cmd['Proper Time'], cmd['Acceleration']))","prog = [(cmd['Proper Time'], cmd['Acceleration']) for cmd in self]",1,1,1
List-compreh,galaxy,https://github.com/ansible/galaxy/tree/master/lib/galaxy/containers/docker_model.py,DockerContainer,ports$132,142,"rval = []
for port_name in port_mappings:
    for binding in port_mappings[port_name]:
        rval.append(ContainerPort(int(port_name.split('/')[0]), port_name.split('/')[1], self.address, int(binding['HostPort'])))","rval = [ContainerPort(int(port_name.split('/')[0]), port_name.split('/')[1], self.address, int(binding['HostPort'])) for port_name in port_mappings for binding in port_mappings[port_name]]",1,1,1
List-compreh,primerpython,https://github.com/Helpsypoo/primerpython/tree/master/blender_scripts/video_scenes/vn.py,TextScene,outline$122,192,"vest = []
for i in range(0, 10):
    vest.append(vn.lookup_table[0][i])","vest = [vn.lookup_table[0][i] for i in range(0, 10)]",1,1,1
List-compreh,forseti-security,https://github.com/forseti-security/forseti-security/tree/master/tests/common/gcp_api/servicemanagement_test.py,ServiceManagementClientTest,test_get_all_apis$93,95,"mock_responses = []
for page in fake_sm.LIST_ALL_SERVICES_RESPONSES:
    mock_responses.append(({'status': '200'}, page))","mock_responses = [({'status': '200'}, page) for page in fake_sm.LIST_ALL_SERVICES_RESPONSES]",1,1,1
List-compreh,comma10k,https://github.com/commaai/comma10k/tree/master/tools/canonicialize_masks.py,,get_pr$33,35,"file_list = []
for item in response.json():
    if base_dir is not None:
        file_list.append(item['filename'].replace(base_dir, ''))","file_list = [item['filename'].replace(base_dir, '') for item in response.json() if base_dir is not None]",1,1,1
List-compreh,galaxy,https://github.com/ansible/galaxy/tree/master/lib/galaxy/tool_util/deps/mulled/get_tests.py,,get_alternative_versions$164,171,"versions = []
for subfile in r:
    if subfile['type'] == 'dir':
        if requests.get(f""https://raw.githubusercontent.com/{github_repo}/master/{subfile['path']}/{filename}"", timeout=MULLED_SOCKET_TIMEOUT).status_code == 200:
            versions.append(f""{subfile['path']}/{filename}"")","versions = [f""{subfile['path']}/{filename}"" for subfile in r if subfile['type'] == 'dir' if requests.get(f""https://raw.githubusercontent.com/{github_repo}/master/{subfile['path']}/{filename}"", timeout=MULLED_SOCKET_TIMEOUT).status_code == 200]",1,1,1
List-compreh,crossbar,https://github.com/crossbario/crossbar/tree/master/crossbar/bridge/mqtt/test/interop.py,,run$45,54,"results = []
for test in _tests:
    results.append(test(host, port))","results = [test(host, port) for test in _tests]",0,1,1
List-compreh,PARL,https://github.com/PaddlePaddle/PARL/tree/master/benchmark/torch/NeurIPS2020-Learning-to-Run-a-Power-Network-Challenge/track1/utils.py,FeatureProcessor,process$34,52,"lines_ex = []
for key in obs['lines_ex']:
    lines_ex.append(obs['lines_ex'][key])",lines_ex = [obs['lines_ex'][key] for key in obs['lines_ex']],1,1,1
List-compreh,hamster,https://github.com/projecthamster/hamster/tree/master/waflib/extras/pytest.py,,extend_unique$128,129,"ext = []
for x in varlst:
    if x not in lst:
        ext.append(x)",ext = [x for x in varlst if x not in lst],1,1,1
List-compreh,polychromatic,https://github.com/polychromatic/polychromatic/tree/master/pylib/controller/devices.py,DevicesTab,open_device$150,235,"widgets = []
for option in options:
    if option['id'] == 'brightness':
        widgets.append(self._create_row_control(device, zone, option))","widgets = [self._create_row_control(device, zone, option) for option in options if option['id'] == 'brightness']",1,1,1
List-compreh,sentry,https://github.com/getsentry/sentry/tree/master/tests/snuba/api/endpoints/test_project_group_index.py,GroupDeleteTest,test_bulk_delete$1378,1379,"groups = []
for i in range(10, 41):
    groups.append(self.create_group(project=self.project, checksum=str(i).encode('utf-8') * 16, status=GroupStatus.RESOLVED))","groups = [self.create_group(project=self.project, checksum=str(i).encode('utf-8') * 16, status=GroupStatus.RESOLVED) for i in range(10, 41)]",1,1,1
List-compreh,keystone,https://github.com/openstack/keystone/tree/master/keystone/api/trusts.py,TrustResource,_normalize_role_list$156,157,"roles = []
for role in trust_roles:
    if role.get('id'):
        roles.append({'id': role['id']})
    else:
        roles.append(PROVIDERS.role_api.get_unique_role_by_name(role['name']))",roles = [{'id': role['id']} if role.get('id') else PROVIDERS.role_api.get_unique_role_by_name(role['name']) for role in trust_roles],1,1,1
List-compreh,dagster,https://github.com/dagster-io/dagster/tree/master/python_modules/dagster/dagster_tests/core_tests/test_pipeline_execution.py,,double_string_for_all$573,577,"output = []
for item in value:
    output.append(None if item is None else item + item)",output = [None if item is None else item + item for item in value],1,1,1
List-compreh,Transfer-Learning-Library,https://github.com/thuml/Transfer-Learning-Library/tree/master/examples/domain_adaptation/re_identification/utils.py,,compute_rerank_dist$140,183,"invIndex = []
for i in range(gallery_num):
    invIndex.append(torch.nonzero(V[:, i])[:, 0])","invIndex = [torch.nonzero(V[:, i])[:, 0] for i in range(gallery_num)]",1,1,1
List-compreh,oppia,https://github.com/oppia/oppia/tree/master/core/android_validation_constants_test.py,AndroidValidationConstantsTest,test_exploration_constants_in_both_files_are_equal$58,60,"language_ids_in_constants = []
for obj in constants_languages_list:
    language_ids_in_constants.append(obj['code'])",language_ids_in_constants = [obj['code'] for obj in constants_languages_list],1,1,1
List-compreh,hamster,https://github.com/projecthamster/hamster/tree/master/waflib/extras/color_msvc.py,ColorMSVCFormatter,format$29,39,"lines = []
for line in rec.msg.splitlines():
    if ': warning ' in line:
        lines.append(self.parseMessage(line, self.colors.YELLOW))
    elif ': error ' in line:
        lines.append(self.parseMessage(line, self.colors.RED))
    elif ': fatal error ' in line:
        lines.append(self.parseMessage(line, self.colors.RED + self.colors.BOLD))
    elif ': note: ' in line:
        lines.append(self.parseMessage(line, self.colors.CYAN))
    else:
        lines.append(line)","lines = [self.parseMessage(line, self.colors.YELLOW) if ': warning ' in line else self.parseMessage(line, self.colors.RED) if ': error ' in line else self.parseMessage(line, self.colors.RED + self.colors.BOLD) if ': fatal error ' in line else self.parseMessage(line, self.colors.CYAN) if ': note: ' in line else line for line in rec.msg.splitlines()]",1,1,1
List-compreh,security_monkey,https://github.com/Netflix/security_monkey/tree/master/security_monkey/watchers/github/team.py,GitHubTeam,slurp$47,52,"item_list = []
for team in teams:
    item_list.append(GitHubTeamItem(account=account.name, name=team['name'], arn='{}/team/{}'.format(account.identifier, team['slug']), config=team, source_watcher=self))","item_list = [GitHubTeamItem(account=account.name, name=team['name'], arn='{}/team/{}'.format(account.identifier, team['slug']), config=team, source_watcher=self) for team in teams]",1,1,1
List-compreh,hypertools,https://github.com/ContextLab/hypertools/tree/master/hypertools/tools/format_data.py,,format_data$10,136,"num_data = []
for (i, j) in zip(processed_x, dtypes):
    if j in ['list_num', 'array', 'df', 'arr_num']:
        num_data.append(i)","num_data = [i for (i, j) in zip(processed_x, dtypes) if j in ['list_num', 'array', 'df', 'arr_num']]",1,1,1
List-compreh,rest_xops,https://github.com/xufqing/rest_xops/tree/master/apps/rbac/views/user.py,UserInfoView,get_permission_from_role$52,55,"perms_list = []
for item in request.user.roles.values('permissions__method').distinct():
    perms_list.append(item['permissions__method'])",perms_list = [item['permissions__method'] for item in request.user.roles.values('permissions__method').distinct()],1,1,1
List-compreh,ploomber,https://github.com/ploomber/ploomber/tree/master/src/ploomber/static_analysis/sql.py,,created_relations$154,194,"relations = []
for (relation, idx) in create_idx.items():
    if relation not in drop_idx or drop_idx[relation] < idx:
        relations.append(relation)","relations = [relation for (relation, idx) in create_idx.items() if relation not in drop_idx or drop_idx[relation] < idx]",1,1,1
List-compreh,listen1,https://github.com/listen1/listen1/tree/master/listen1/replay/douban.py,,get_playlist$207,214,"result = []
for song in data['songs']:
    result.append(_convert_song2(song))",result = [_convert_song2(song) for song in data['songs']],1,1,1
List-compreh,large-scale-curiosity,https://github.com/openai/large-scale-curiosity/tree/master/roboenvs/joint_pong.py,DiscretizeActionWrapper,__init__$245,248,"self._dist_to_cont = []
for (low, high) in zip(env.action_space.low, env.action_space.high):
    self._dist_to_cont.append(np.linspace(low, high, nsamples))","self._dist_to_cont = [np.linspace(low, high, nsamples) for (low, high) in zip(env.action_space.low, env.action_space.high)]",1,1,1
List-compreh,scanpy,https://github.com/theislab/scanpy/tree/master/scanpy/plotting/_tools/scatterplots.py,,_get_data_points$1024,1110,"data_points = []
for comp in components_list:
    data_points.append(adata.obsm[basis_key][:, comp])","data_points = [adata.obsm[basis_key][:, comp] for comp in components_list]",1,1,1
List-compreh,mmdetection,https://github.com/open-mmlab/mmdetection/tree/master/mmdet/models/dense_heads/pisa_ssd_head.py,PISASSDHead,loss$14,81,"all_anchors = []
for i in range(num_images):
    all_anchors.append(torch.cat(anchor_list[i]))",all_anchors = [torch.cat(anchor_list[i]) for i in range(num_images)],1,1,1
List-compreh,unilm,https://github.com/microsoft/unilm/tree/master/layoutreader/s2s_ft/modeling_decoding.py,LayoutlmForSeq2SeqDecoder,beam_search$1296,1519,"dup_cands = []
for seq in partial_seqs:
    dup_cands.append(get_dup_ngram_candidates(seq, self.ngram_size))","dup_cands = [get_dup_ngram_candidates(seq, self.ngram_size) for seq in partial_seqs]",1,1,1
List-compreh,quodlibet,https://github.com/quodlibet/quodlibet/tree/master/quodlibet/operon/commands.py,TagsCommand,_execute$87,103,"tags = []
for key in tag_names:
    tags.append((key, util.tag(key)))","tags = [(key, util.tag(key)) for key in tag_names]",1,1,1
List-compreh,coding-interview-gym,https://github.com/partho-maple/coding-interview-gym/tree/master/leetcode.com/python/863_All_Nodes_Distance_K_in_Binary_Tree.py,Solution,extractLayerFromQueue$145,146,"resultNodes = []
for node in queue:
    resultNodes.append(node.val)",resultNodes = [node.val for node in queue],1,1,1
List-compreh,dragonfly,https://github.com/dragonfly/dragonfly/tree/master/dragonfly/gp/kernel.py,ESPKernelMatern,__init__$740,741,"kernel_list = []
for i in range(dim):
    kernel_list.append(MaternKernel(1, nu[i], 1.0, np.asscalar(dim_bandwidths[i])))","kernel_list = [MaternKernel(1, nu[i], 1.0, np.asscalar(dim_bandwidths[i])) for i in range(dim)]",1,1,1
List-compreh,GRU4Rec,https://github.com/hidasib/GRU4Rec/tree/master//gru4rec.py,GRU4Rec,symbolic_predict$721,723,"H = []
for i in range(len(self.layers)):
    H.append(theano.shared(np.zeros((batch_size, self.layers[i]), dtype=theano.config.floatX)))","H = [theano.shared(np.zeros((batch_size, self.layers[i]), dtype=theano.config.floatX)) for i in range(len(self.layers))]",1,1,1
List-compreh,mlbgame,https://github.com/panzarino/mlbgame/tree/master/mlbgame/events.py,AtBat,__init__$130,140,"self.pitches = []
for y in data[x]:
    self.pitches.append(Pitch(y))",self.pitches = [Pitch(y) for y in data[x]],1,1,1
List-compreh,scikit-multiflow,https://github.com/scikit-multiflow/scikit-multiflow/tree/master/tests/data/test_temporal_data_stream.py,,generate_random_delays$205,207,"delays = []
for d in samples:
    delays.append(d + np.timedelta64(int(random.random() * 30), 'D'))","delays = [d + np.timedelta64(int(random.random() * 30), 'D') for d in samples]",1,1,1
List-compreh,Cura,https://github.com/Ultimaker/Cura/tree/master/cura/CuraApplication.py,CuraApplication,_readMeshFinished$1834,1868,"fixed_nodes = []
for node_ in DepthFirstIterator(self.getController().getScene().getRoot()):
    if node_.callDecoration('isSliceable'):
        fixed_nodes.append(node_)",fixed_nodes = [node_ for node_ in DepthFirstIterator(self.getController().getScene().getRoot()) if node_.callDecoration('isSliceable')],1,1,1
List-compreh,awx,https://github.com/ansible/awx/tree/master/awx_collection/plugins/modules/job_template.py,,main$349,563,"association_fields['instance_groups'] = []
for item in instance_group_names:
    association_fields['instance_groups'].append(module.resolve_name_to_id('instance_groups', item))","association_fields['instance_groups'] = [module.resolve_name_to_id('instance_groups', item) for item in instance_group_names]",1,1,1
List-compreh,azure-cli,https://github.com/Azure/azure-cli/tree/master/src/azure-cli/azure/cli/command_modules/network/custom.py,,update_subnet$6739,6768,"instance.service_endpoints = []
for service in service_endpoints:
    instance.service_endpoints.append(ServiceEndpoint(service=service))",instance.service_endpoints = [ServiceEndpoint(service=service) for service in service_endpoints],1,1,1
List-compreh,SMAC3,https://github.com/automl/SMAC3/tree/master/smac/optimizer/epm_configuration_chooser.py,EPMChooser,_collect_data_to_train_model$96,98,"available_budgets = []
for run_key in self.runhistory.data.keys():
    available_budgets.append(run_key.budget)",available_budgets = [run_key.budget for run_key in self.runhistory.data.keys()],1,1,1
List-compreh,open_model_zoo,https://github.com/openvinotoolkit/open_model_zoo/tree/master/tools/accuracy_checker/openvino/tools/accuracy_checker/adapters/nlp.py,QuestionAnsweringBiDAFAdapter,process$250,254,"result = []
for (identifier, start, end) in zip(identifiers, raw_output[self.start_pos], raw_output[self.end_pos]):
    result.append(QuestionAnsweringPrediction(identifier=identifier, start_index=start, end_index=end))","result = [QuestionAnsweringPrediction(identifier=identifier, start_index=start, end_index=end) for (identifier, start, end) in zip(identifiers, raw_output[self.start_pos], raw_output[self.end_pos])]",1,1,1
List-compreh,tvm,https://github.com/apache/tvm/tree/master/python/tvm/relay/frontend/onnx.py,ATen,_check_index$3274,3288,"unflod_slices = []
for i in range(n):
    unflod_slices.append(fold_constant(_op.repeat(_op.tile(flatten_indices[i], (tile_size[i],)), repeat_size[i], 0)))","unflod_slices = [fold_constant(_op.repeat(_op.tile(flatten_indices[i], (tile_size[i],)), repeat_size[i], 0)) for i in range(n)]",1,1,1
List-compreh,rpaframework,https://github.com/robocorp/rpaframework/tree/master/packages/main/src/RPA/Cloud/objects/textract.py,Form,searchFieldsByKey$343,345,"results = []
for field in self._fields:
    if field.key and searchKey in field.key.text.lower():
        results.append(field)",results = [field for field in self._fields if field.key and searchKey in field.key.text.lower()],1,1,1
List-compreh,holoviews,https://github.com/holoviz/holoviews/tree/master/holoviews/element/graphs.py,Graph,_validate$213,216,"mismatch = []
for (kd1, kd2) in zip(self.nodes.kdims, self.edgepaths.kdims):
    if kd1 != kd2:
        mismatch.append('%s != %s' % (kd1, kd2))","mismatch = ['%s != %s' % (kd1, kd2) for (kd1, kd2) in zip(self.nodes.kdims, self.edgepaths.kdims) if kd1 != kd2]",1,1,1
